Beschreibung,Dafür,Dagegen,Endergebnis,Vorgeschlagen_von,Datum,Episode,Nummer
"Auf Social Media wird der Name ""Merkel"" oft absichtlich falsch geschrieben als ""Merkle"", das ""el"" am Ende wird zu ""le"" umgedreht.  Das soll einen Verfremdungseffekt erzeugen und wird oft in ironisch-kritischen Kontexten verwendet.",['Lars'],[],True,Ijoma,2021-05-17,Live free or die,1
"Immer mehr Produkte, die früher einfach ""normal"" waren, werden jetzt als ""Classic"" vermarktet.  Das normale, Standardprodukt wird sozusagen zum Klassiker, während es unzählige neue Varianten und Erweiterungen gibt.",['Ijoma'],[],True,Lars,2021-05-17,Live free or die,2
"Online-Tools, die den Anstieg des Meeresspiegels simulieren und die Auswirkungen auf verschiedene Orte visualisieren, gewinnen an Relevanz.  Menschen nutzen sie zunehmend, um die langfristige Bewohnbarkeit von Orten zu prüfen, an die sie ziehen wollen oder wo sie herkommen.","['Ijoma', 'Lars']",[],True,Nina,2021-05-17,Live free or die,3
"In WGs und Haushalten werden Bokashi-Eimer verwendet, um Bioabfälle durch Fermentation in geruchsintensives Düngemittel umzuwandeln.",['Lars'],[],True,Ijoma,2021-05-17,Live free or die,4
"Die Schlaghose, in Anlehnung an die Mode der 90er Jahre, ist wieder im Trend, besonders bei jungen Frauen.  Oft wird sie in Kombination mit dicken Steppjacken getragen.",['Ijoma'],[],True,Lars,2021-05-17,Live free or die,5
"Saatgut-Tütchen und Sets werden überall angeboten, von Zeitungen bis hin zu Bibliotheken. Es gibt auch Saatgutbibliotheken, wo man Saatgut ausleihen, anbauen und die gewonnen Samen zurückbringen kann.  Dies hängt mit dem Trend zum Gärtnern, Regionalität und dem Wunsch nach Selbstwirksamkeit zusammen.","['Ijoma', 'Lars']",[],True,Nina,2021-05-17,Live free or die,6
"Der Kompostwurm ist nicht nur ein simples Tier im Garten, sondern ein Lifestyle-Objekt. Es geht um den ""Wurmhumus"", der durch den Mistwurm entsteht und als hochwertiger Dünger verkauft wird, aber auch um das ganze Set und den Wurm selbst.  Der Kompostwurm wird zum Gegenstand von Gesprächen und Statussymbol.",['Ijoma'],[],True,Nina,2021-10-04,Ist Schönheit sexistisch,1
"Seit Kurzem können auf Twitter Micropayments via Bitcoin mit dem Lightning-Netzwerk abgewickelt werden. Das ermöglicht u.a. das ""Tippen"" von Tweets und wird als zukünftig revolutionär für die Monetarisierung von Inhalten, insbesondere in der Podcast-Industrie, eingeschätzt.",['Nina'],[],True,Ijoma,2021-10-04,Ist Schönheit sexistisch,2
"Die populärste Form der Selbsttherapie besteht darin, die eigenen (meist negativen) Glaubenssätze zu finden, zu hinterfragen und umzucodieren. Dieser Ansatz wird in allen Lebensbereichen, besonders in der Selbsthilfe, angewendet und als Weg zur Heilung propagiert.",['Ijoma'],[],True,Nina,2021-10-04,Ist Schönheit sexistisch,3
"Das Thread-Emoji (ein Faden auf einer Spule) wird bei Twitter verwendet, um lange, mehrteilige Tweets anzukündigen.  Oft wird es von einem Satz wie ""Setzt euch mal einen Tee auf, jetzt kommt ein längerer Thread"" begleitet.",[],['Ijoma'],False,Lars,2022-05-02,Linke Lockdowns rechte Pazifisten,1
"Der Satz ""Das ist keine Raketenwissenschaft"" wird häufig verwendet, um komplexe Sachverhalte als vermeintlich einfach darzustellen. Dies steht im Kontrast zur allgemein anerkannten These, dass die Welt immer komplexer wird.",['Lars'],[],True,Ijoma,2022-05-02,Linke Lockdowns rechte Pazifisten,2
"Weisbrod beobachtet, dass ihm vermehrt junge Menschen begegnen, die Philosophie, Politik und Wirtschaft (PPE) studieren.  Er vermutet eine Zunahme dieses Studiengangs in Deutschland.",['Ijoma'],[],True,Lars,2022-05-02,Linke Lockdowns rechte Pazifisten,3
"Mangold berichtet von einer Durchsage im Zug, in der die Verspätung mit der Begründung erklärt wurde, dass ein Güterzug ""mehr in die Trasse investiert"" habe. Er sieht darin einen neuen Trend zur Preis-Transparenz.",[],['Lars'],False,Ijoma,2022-05-02,Linke Lockdowns rechte Pazifisten,4
"Die Unsicherheit darüber, warum Menschen in der Öffentlichkeit noch Masken tragen. Ist es zum Selbstschutz, zum Schutz anderer oder ein Statement? Diese Unsicherheit führt zu neuen Interpretationen und Spekulationen.",['Ijoma'],[],True,Nina,2023-05-29,Müssen wir unsere Wut wegatmen,1
"Ältere Menschen gehen in billigere Fitnessstudios, nicht wegen des Preises, sondern um jüngere, attraktivere Menschen zu beobachten.  Dies ist eine Umkehrung des früheren Trends, bei dem teurere Studios als attraktiver galten.",['Nina'],[],True,Ijoma,2023-05-29,Müssen wir unsere Wut wegatmen,2
"Eltern, insbesondere Millennials, versuchen, achtsam und gewaltfrei zu erziehen, geraten aber in stressigen Situationen doch in ein schizophrene Wechselspiel aus Schimpfen, Entschuldigungen und erneutem Ausrasten.",['Ijoma'],[],True,Nina,2023-05-29,Müssen wir unsere Wut wegatmen,3
"Das Goethe-Institut sucht einen ""Manager (m/w/d)"", wobei in der Klammer nicht m/w/d, sondern ""mensch"" mit kleinem m steht. Dies soll vermutlich Inklusion signalisieren, erzeugt aber gleichzeitig eine neue Unterscheidung.",['Nina'],[],True,Ijoma,2023-05-29,Müssen wir unsere Wut wegatmen,4
"Ein Gefühl tiefer Zufriedenheit beim Anblick von Solaranlagen, ausgelöst durch die Vorstellung, dass die Sonne für einen arbeitet und man dadurch unabhängig von fossilen Brennstoffen ist. Dieses Gefühl wird verstärkt durch den Gedanken an die Unabhängigkeit von Russland.","['Lars', 'Zuhörer/Publikum/Gast']",['Ijoma'],True,Nina,2023-05-15,Solarpunks Insektenmehl und ein falscher Glottisschlag,1
"Baristas in hippen Cafés tragen blaue Arbeitsjacken, die an Industrie- oder Mechanikerkleidung der 60er Jahre erinnern. Dies könnte ein Ausdruck des neu entdeckten Stolzes auf die Working Class sein oder ein Versuch, sich als Fachkraft zu positionieren.","['Nina', 'Ijoma']",['Zuhörer/Publikum/Gast'],False,Lars,2023-05-15,Solarpunks Insektenmehl und ein falscher Glottisschlag,2
"Menschen, meist Best Ager, übernehmen Patenschaften für alte, denkmalgeschützte Gräber und investieren in deren Renovierung.  Dadurch erhalten sie die Möglichkeit, über ihren Tod hinaus Wirkung zu haben und Präsenz zu zeigen.","['Nina', 'Zuhörer/Publikum/Gast']",['Lars'],True,Ijoma,2023-05-15,Solarpunks Insektenmehl und ein falscher Glottisschlag,3
"Erfolgreiche Instagram-Influencer gestikulieren beim Sprechen in die Kamera auf eine bestimmte Weise, mit der Hand in einer unnatürlichen Nähe zum Gesicht. Diese Gestik soll die Dringlichkeit ihrer Botschaften unterstreichen.","['Lars', 'Ijoma', 'Nina']",[],True,Zuhörer/Publikum/Gast,2023-05-15,Solarpunks Insektenmehl und ein falscher Glottisschlag,4
"QR-Codes waren vor 10 Jahren schon technisch verfügbar, setzten sich aber erst durch die Pandemie im Alltag durch. Dies zeigt die Entkopplung von technischer und gesellschaftlicher Entwicklung.","['Lars', 'Ijoma', 'Nina', 'Zuhörer/Publikum/Gast']",[],True,Zuhörer/Publikum/Gast,2023-05-15,Solarpunks Insektenmehl und ein falscher Glottisschlag,5
"Trotz Body Positivity und der Feier von  ""bigger bodies"" wird der Heroin Chic wieder populär.  Die Kardashians lösen ihre Filler auf und unterziehen sich  Behandlungen wie Buccal Fat Removal, um dünner zu wirken. Das ist ein Widerspruch zu dem, was die Gen Z eigentlich propagiert.","['Ijoma', 'Lars', 'Nina', 'Zuhörer/Publikum/Gast']",[],True,Zuhörer/Publikum/Gast,2023-05-15,Solarpunks Insektenmehl und ein falscher Glottisschlag,6
"Obwohl die junge Generation gesundheits- und klimabewusst lebt, rauchen viele wieder Zigaretten.  Das widerspricht ihrem sonstigen Lifestyle.","['Ijoma', 'Nina', 'Zuhörer/Publikum/Gast']",['Lars'],True,Zuhörer/Publikum/Gast,2023-05-15,Solarpunks Insektenmehl und ein falscher Glottisschlag,7
"Beim Gendern wird der Glottalverschluss, die kurze Pause vor der weiblichen Endung,  oft einen Buchstaben zu früh eingefügt (z.B. KollegInnen statt Kolleg_Innen). Diese falsche Aussprache verbreitet sich, weil sie melodischer klingt und sich daher im Alltag besser durchsetzt.",['Lars'],['Nina'],False,Zuhörer/Publikum/Gast,2023-05-15,Solarpunks Insektenmehl und ein falscher Glottisschlag,8
"Ein wiedererwachtes Interesse und eine regelrechte Hype um den Maler Caspar David Friedrich, getrieben durch einen Bestseller, eine Ausstellung und Internet-Memes.  Die Romantisierung von Natur, Melancholie und Einsamkeit in seinen Werken wird als besonders gegenwärtig empfunden.",[],['Lars'],False,Nina,2024-01-15,Habits ändern manifestieren oder doch lieber detoxen,1
"Ein neuer Trend auf Instagram, bei dem die Augen von Kindern auf Fotos mit Stickern, Emojis oder kleinen Symbolen verdeckt werden, um ihre Identität zu schützen. Es wird eine Parallele zu anonymisierten Verbrecherfotos in der Bild-Zeitung gezogen.",['Nina'],[],True,Lars,2024-01-15,Habits ändern manifestieren oder doch lieber detoxen,2
"Der bekannte Satz aus der Arzneimittelwerbung ""Bei Risiken und Nebenwirkungen fragen Sie Ihren Arzt oder Apotheker"" wird erweitert bzw. gegendert. Er lautet nun ""Fragen Sie Ihre Ärztin, Ihren Arzt oder in der Apotheke.""",['Lars'],[],True,Zuhörer/Publikum/Gast,2024-01-15,Habits ändern manifestieren oder doch lieber detoxen,3
"Ein robuster, großer Mehrwegbecher der Firma Stanley wird zum Trendobjekt, insbesondere durch limitierte Editionen in Pastellfarben. Der Erfolg wird auf das gleiche Marketing wie bei Crocs zurückgeführt.",['Nina'],[],True,Zuhörer/Publikum/Gast,2024-01-15,Habits ändern manifestieren oder doch lieber detoxen,4
"Ein neues Schimpfwort für Gegner des Fortschritts, insbesondere in der Klimadebatte. Die Bezeichnung dient der politischen Charakterisierung und Diffamierung.",['Nina'],[],True,Ijoma,2023-04-03,Wie können wir unsere Köpfe dekolonisieren,1
"Ein Trend, Montags nur das absolute Minimum zu tun, um der ""Sunday Scaries"" entgegenzuwirken und die Work-Life-Balance zu verbessern.  Es ist eine Verquickung einer neuen Routine mit dem Wunsch nach Entschleunigung.",['Ijoma'],[],True,Nina,2023-04-03,Wie können wir unsere Köpfe dekolonisieren,2
"Eine von ihm beobachtete Formulierung in Airbnb-Werbung, die verdeckt nach Klasse selektiert.  Der Begriff ""Kunstliebhaber*innen"" dient als  Code für ein bestimmtes Bildungsniveau und Einkommen.",[],['Nina'],False,Ijoma,2023-04-03,Wie können wir unsere Köpfe dekolonisieren,3
"Yoga-Videos, bei denen die Yoga-Lehrerin auf dem Sofa sitzt und Übungen vorführt, die man beim Fernsehen machen kann. Es vereint den Wunsch nach Entspannung und Bewegung mit dem Multitasking-Trend.",['Ijoma'],[],True,Nina,2023-04-03,Wie können wir unsere Köpfe dekolonisieren,4
"Der Begriff ""Tallahahn"" bezeichnet stereotyp einen jungen Mann mit Migrationshintergrund, der mit prolligen Gucci-Taschen und rasierten Haaren rumsteht und illegale Machenschaften betreibt. Das Phänomen hat durch einen KI-generierten Song ""Verknallt in einen Tallahahn""  zusätzliche Aufmerksamkeit erhalten und ist sogar in die Charts eingestiegen.",['Ijoma'],[],True,Nina,2024-08-26,Wie lange geht Party Girl Forever,1
"Junge Frauen (unter 23) tragen ihren Bikini so, dass sie nach dem Sonnenbaden deutliche Bräunungsstreifen haben, die sie dann auch im Alltag präsentieren, indem sie Kleidung mit großen Ausschnitten tragen. Dies dient als ""Proof of work"" für ihren Urlaub am Strand.",[],['Nina'],False,Ijoma,2024-08-26,Wie lange geht Party Girl Forever,2
"Das Dreirad wird vermehrt von älteren Menschen benutzt, als eine Art Zwischenstufe zwischen Fahrradfahren und Rollator. Nina Power vermutet einen Trend, da sie das Dreirad häufiger beobachtet hat.",['Ijoma'],[],True,Nina,2024-08-26,Wie lange geht Party Girl Forever,3
"Auf Dating-Apps wie OkCupid gibt es die Auswahlmöglichkeit ""Sylt oder Ballermann"", die als Indikator für soziale Klasse und Lebensstil dient.  Es wird beobachtet, dass immer mehr Menschen ""Ballermann"" angeben, um nicht als elitär wahrgenommen zu werden.",['Nina'],[],True,Ijoma,2024-08-26,Wie lange geht Party Girl Forever,4
"Ein neuer Begriff auf Twitter, der Menschen bezeichnet, deren Meinungen als fragwürdig eingestuft werden. Der Begriff hat sich auf Twitter etabliert und wird verwendet, um Personen zu diskreditieren.",['Lars'],[],True,Ijoma,2021-11-29,Habt besser mal eine Meinung zur Inflation,1
"Die wiederkehrende Beschäftigung mit Sternzeichen, besonders semi-ironisch unter jungen Leuten in den sozialen Medien. Die Sternzeichen werden auf Englisch benannt und oft mit politischen Themen verknüpft.",['Ijoma'],[],True,Lars,2021-11-29,Habt besser mal eine Meinung zur Inflation,2
"Hashtags werden außerhalb des Internets, z.B. auf Werbeplakaten, verwendet, obwohl sie dort ihre eigentliche Funktion der Verlinkung verlieren. Sie sind zu rein ästhetischen Gestaltungselementen geworden.",[],['Lars'],False,Ijoma,2021-11-29,Habt besser mal eine Meinung zur Inflation,3
"Lange Tische in Restaurants, an denen alle Gäste zusammensitzen, oft auch mit Fremden. Es gibt nur diesen einen Tisch im Restaurant, und man reserviert nicht einen eigenen Tisch, sondern Plätze am Community Table.",[],['Ijoma'],False,Lars,2021-11-29,Habt besser mal eine Meinung zur Inflation,4
"Ein kleines, rundes Gerät am Oberarm, das den Blutzucker misst. Ursprünglich für Diabetiker gedacht, wird es nun auch von Nicht-Diabetikern zur Optimierung der Gesundheit und zum Abnehmen verwendet.",['Ijoma'],[],True,Zuhörer/Publikum/Gast,2023-07-10,Soll man seinen Kindern noch von Odysseus erzählen,1
"Der Begriff ""Datenpunkt"" wird im Alltag oft verwendet, um einzelne Beobachtungen oder Informationen zu beschreiben, auch wenn diese nicht im strengen Sinne Datenpunkte sind. Dies spiegelt eine Epistemologisierung des Alltagsvokabulars wider.",['Lars'],[],True,Ijoma,2023-07-10,Soll man seinen Kindern noch von Odysseus erzählen,2
"Junge, gutaussehende Männer orientieren sich im Kleidungsstil an dem 80er-Jahre Look von Tom Selleck als Magnum:  Hawaiihemden, kurze Shorts, Oberlippenbart und Goldkettchen.",[],[],True,Lars,2023-07-10,Soll man seinen Kindern noch von Odysseus erzählen,3
"iPhones unterbrechen Podcasts, um eingehende Nachrichten anzukündigen, und lesen dabei auch Emojis in Worten vor.  Diese Rückübersetzung des Piktogramms in Sprache ist das eigentliche Phänomen.",['Lars'],[],True,Ijoma,2023-07-10,Soll man seinen Kindern noch von Odysseus erzählen,4
"Eine Variante des Negroni Cocktails, die noch mehr Alkohol enthält.",[],[],False,Ijoma,2023-07-10,Soll man seinen Kindern noch von Odysseus erzählen,5
"Menschen umarmen sich wieder, stellen aber vorher die Frage, ob dies erlaubt ist, und halten den Kopf schräg zur Seite, während sie sich nur halb umarmen. Sie nuscheln dabei etwas von ""gestern getestet"" oder ""einmal geimpft"".","['Lars', 'Zuhörer/Publikum/Gast']",['Ijoma'],True,Nina,2021-06-28,Von Außengastro bis Neo-Barock,1
"Der Minimalismus ist vorbei. Menschen entscheiden sich wieder für mehr Farbe und Ornamentik in ihrer Umgebung, sowohl bei der Wandfarbe als auch bei Gebrauchsgegenständen wie Wasserkaraffen. Auch der Spruch ""Auch Minimalismus ist als Idee schon zu viel"" von einem Töpfer, deutet auf das Ende des Minimalismus.",['Nina'],"['Lars', 'Zuhörer/Publikum/Gast']",False,Ijoma,2021-06-28,Von Außengastro bis Neo-Barock,2
"FinDom (Financial Dominance) ist ein sexueller Fetisch, bei dem meist Männer sexuelle Erregung dadurch empfinden, dass sie Frauen Geld bezahlen, ohne eine Gegenleistung dafür zu erhalten. Der Fetisch ist das Bezahlen selbst.",['Ijoma'],"['Nina', 'Zuhörer/Publikum/Gast']",False,Lars,2021-06-28,Von Außengastro bis Neo-Barock,3
"In der Fotogalerie eines Landhauses, in der Werbung für einen Urlaubsaufenthalt, sind Fotos von Desinfektionsspray und -tüchern zu sehen.  Dies soll den Gästen ein Gefühl der Sicherheit und des guten Hygienekonzepts vermitteln.","['Ijoma', 'Lars', 'Zuhörer/Publikum/Gast']",[],True,Nina,2021-06-28,Von Außengastro bis Neo-Barock,4
"In der Werbung, vor allem auf Instagram, werben Firmen mit der Spezialisierung auf nur ein einziges Produkt, z. B. ""Wir machen nur ein Hemd, aber das perfekt!"". Dies soll die Qualität und Expertise der Firma unterstreichen.","['Nina', 'Zuhörer/Publikum/Gast']",['Ijoma'],True,Lars,2021-06-28,Von Außengastro bis Neo-Barock,5
"Die Corona-Pandemie hat die Pflichten von Gastgebern erweitert.  Man muss sich als Gastgeber um Schnelltests kümmern, den Impfstatus der Gäste abfragen und die Anzahl der Gäste im Voraus planen.","['Lars', 'Ijoma', 'Zuhörer/Publikum/Gast']",[],True,Nina,2021-06-28,Von Außengastro bis Neo-Barock,6
"Es gibt einen gesellschaftlichen Wettbewerb darum, wer am meisten unter der Pandemie leidet.  Angefangen bei den alten Menschen, über Schüler, Eltern, Lehrer bis hin zu den Studenten, die alle ihre spezifischen Belastungen hervorheben.","['Ijoma', 'Lars']",['Nina'],True,Ijoma,2021-06-28,Von Außengastro bis Neo-Barock,7
"Der Begriff ""Außen-G"" (für Außengastronomie) ist in den sozialen Medien, insbesondere auf Twitter, prominent geworden und drückt die Sehnsucht und Freude über die wiedereröffnete Außengastronomie aus. Gekrönt wurde dies durch den Begriff ""Außen-G-Unit"".","['Ijoma', 'Lars', 'Zuhörer/Publikum/Gast']",['Nina'],True,Lars,2021-06-28,Von Außengastro bis Neo-Barock,8
"Herrnhuter Sterne, typische Weihnachtsdekoration, werden nicht mehr nach Weihnachten abgenommen, sondern hängen bis weit in den Februar hinein, oft sogar noch länger. Dies wird mit einem allgemeinen Bedürfnis nach Licht und Hoffnung in der Dunkelheit verbunden, über die dunkle Jahreszeit hinaus.",['Ijoma'],[],True,Nina,2022-02-21,Trauma ist für alle da,1
"Das Wort ""episch"" wird inflationär im Deutschen verwendet, um etwas als besonders beeindruckend oder großartig zu beschreiben. Es hat sich vom Begriff einer literarischen Gattung zu einem allgemeinen Ausdruck der Begeisterung gewandelt.",['Nina'],[],True,Ijoma,2022-02-21,Trauma ist für alle da,2
"Wordle ist ein Online-Wortspiel, das Anfang 2022 einen Hype erlebte. Spieler erraten ein Wort in mehreren Versuchen, indem sie Buchstabenkombinationen eingeben, und können ihre Ergebnisse in sozialen Medien teilen.",['Ijoma'],[],True,Nina,2022-02-21,Trauma ist für alle da,3
"Die Begriffe ""großes Gedeck"" und ""kleines Gedeck"" werden im Journalisten- und Politikmilieu verwendet, um die Bedeutung von Reisen zu beschreiben.  ""Großes Gedeck"" steht für Reisen mit hoher Bedeutung, z.B. nach Washington, ""kleines Gedeck"" für weniger wichtige Reisen, z.B. nach Polen.",['Nina'],[],True,Ijoma,2022-02-21,Trauma ist für alle da,4
"Eine neue Form des ""Mansplaining"", bei der westliche Männer (insbesondere im Kontext des Ukrainekriegs) anderen, vor allem osteuropäischen Menschen, die Welt aus westlicher Perspektive erklären, oft herablassend und die Geschichte und Erfahrungen der Osteuropäer ignorierend.",['Lars'],[],True,Nina,2022-05-30,Früher koksen heute Darmspiegelung,1
"Ein Spiel, das im Park gespielt wird, bei dem ein Ball auf ein kleines Trampolin geschlagen wird und von den Spielern hin und her gespielt wird.  Der erste Eindruck ist, dass es übermäßig kompliziert wirkt für ein Ballspiel.",[],['Nina'],False,Lars,2022-05-30,Früher koksen heute Darmspiegelung,2
"Ein Rucksack, der oben zusammengerollt und mit Schnallen verschlossen wird, statt mit einem Reißverschluss. Oft wird er offen getragen, obwohl der Inhalt herausfallen könnte.",['Lars'],[],True,Nina,2022-05-30,Früher koksen heute Darmspiegelung,3
"Porno-Websites, die sich mit Fair Trade, Konsensualität und Feminismus schmücken und so versuchen, ethisch korrekt zu wirken.  Das Marketing dieser Websites spiegelt die Widersprüche der Gegenwart wider.",['Nina'],[],True,Lars,2022-05-30,Früher koksen heute Darmspiegelung,4
"Häufiges Spazierengehen, oft mehrmals täglich, auch als Ersatz für andere soziale Aktivitäten und als berufliche Tätigkeit (z.B. bei Therapeuten).  Ausgelöst durch Lockdowns und Kontaktbeschränkungen.",['Ijoma'],[],True,Nina,2020-12-07,Intervallfasten und Pilze,1
